TidyBTName,canonicalName,rank,kingdom,common_name,AphiaID,Aphia_scientificname,TRY_AccSpeciesName,TR_BodyLength_mm,TR_QualitativeBodySize,TR_Mean_LengthMax,TR_adult_body_mass_g,TR_Mean_SeedMass,TR_Max_Height,Fish_Refs_Length,TRY_datasetIDs_SeedMass,TRY_datasetIDs_Height
Gnaphalium sylvaticum,Gnaphalium sylvaticum,SPECIES,Plantae,NA,NA,NA,Gnaphalium sylvaticum,NA,NA,NA,NA,-1.4118519497494768,1,NA,21 25 119 28 174,25 178 203 174
Hieracium lachenalii,Hieracium lachenalii,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis acetosella,Oxalis acetosella,SPECIES,Plantae,NA,NA,NA,Oxalis acetosella,NA,NA,NA,NA,0.01573096481213518,0.15,NA,21 86 25 4 119 174,86 25 164 203 200 174
Petasites albus,Petasites albus,SPECIES,Plantae,NA,NA,NA,Petasites albus,NA,NA,NA,NA,NA,0.8,NA,NA,25 164 174 251
Rubus fruticosus,Rubus fruticosus,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soldanella montana,Soldanella montana,SPECIES,Plantae,NA,NA,NA,Soldanella montana,NA,NA,NA,NA,-0.2456516642889812,0.25,NA,4,25
Sorbus acutisecta,Sorbus acutisecta,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epilobium angustifolium,Epilobium angustifolium,SPECIES,Plantae,NA,NA,NA,Epilobium angustifolium,NA,NA,NA,NA,-1.0346673972456528,3,NA,21 86 50 25 4 119 28 174,86 50 1 37 25 73 20 28 164 175 178 203 174 256 251
Calamagrostis villosa,Calamagrostis villosa,SPECIES,Plantae,NA,NA,NA,Calamagrostis villosa,NA,NA,NA,NA,-0.9894450249153023,1,NA,25,25 164
Digitalis purpurea,Digitalis purpurea,SPECIES,Plantae,NA,NA,NA,Digitalis purpurea,NA,NA,NA,NA,-1.0828122753765268,1.524,NA,21 25 4 92 119 28 174,25 92 28 178 174 251
Epilobium anagallidifolium,Epilobium anagallidifolium,SPECIES,Plantae,NA,NA,NA,Epilobium anagallidifolium,NA,NA,NA,NA,-1.1993118199658217,0.2,NA,21 25 119,25 178 174 251
Maianthemum bifolium,Maianthemum bifolium,SPECIES,Plantae,NA,NA,NA,Maianthemum bifolium,NA,NA,NA,NA,1.0770197290275938,0.2,NA,21 25 4 119 28 174,25 164 178 203 174
Polygonatum multiflorum,Polygonatum multiflorum,SPECIES,Plantae,NA,NA,NA,Polygonatum multiflorum,NA,NA,NA,NA,1.354040653161377,0.8,NA,21 25 4 119 202 174,25 161 164 175 203 174 220
Tussilago farfara,Tussilago farfara,SPECIES,Plantae,NA,NA,NA,Tussilago farfara,NA,NA,NA,NA,-0.5504732002556795,0.576,NA,21 86 50 25 119 174,86 50 25 164 175 178 203 174 251 421
Urtica dioica,Urtica dioica,SPECIES,Plantae,NA,NA,NA,Urtica dioica,NA,NA,NA,NA,-0.8142719073840775,2.5,NA,21 86 25 80 119 28 174,86 37 25 80 88 108 28 161 164 175 178 203 174 220 251
Vaccinium myrtillus,Vaccinium myrtillus,SPECIES,Plantae,NA,NA,NA,Vaccinium myrtillus,NA,NA,NA,NA,-0.41982809842091307,0.9,NA,37 21 86 25 4 119 28 72 202 174,86 1 37 25 68 88 20 28 164 178 200 174 251
Vaccinium vitis.idaea,Vaccinium,GENUS,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spergularia rubra,Spergularia rubra,SPECIES,Plantae,NA,NA,NA,Spergularia rubra,NA,NA,NA,NA,-1.4855928577602509,0.25,NA,21 25 4 119 174,25 164 178 203 174 251
Salix aurita,Salix aurita,SPECIES,Plantae,NA,NA,NA,Salix aurita,NA,NA,NA,NA,NA,3,NA,NA,25 68 20 164 178 174 251
Trisopteru sminutus,Trisopterus minutus,SPECIES,Animalia,NA,126446,Trisopterus minutus,NA,276.6666666666667,NA,24,NA,NA,NA,FroesePauly2018,NA,NA
Trisopterus esmarki,Trisopterus esmarki,SPECIES,Animalia,NA,126444,Trisopterus esmarkii,NA,263.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA
Callionymus maculatus,Callionymus maculatus,SPECIES,Animalia,NA,126793,Callionymus maculatus,NA,200,NA,13,NA,NA,NA,FroesePauly2018,NA,NA
Raja naevus,Raja naevus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solea vulgaris,Solea vulgaris,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microchirus variegatus,Microchirus variegatus,SPECIES,Animalia,NA,274304,Microchirus variegatus,NA,245,NA,23.8,NA,NA,NA,FroesePauly2018,NA,NA
Aspitriglia cuculus,Aspitrigla cuculus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scophthalmus maximus,Scophthalmus maximus,SPECIES,Animalia,NA,127149,Scophthalmus maximus,NA,750,NA,81.5,NA,NA,NA,FroesePauly2018,NA,NA
Lophius budegassa,Lophius budegassa,SPECIES,Animalia,NA,126554,Lophius budegassa,NA,750,NA,93,NA,NA,NA,FroesePauly2018,NA,NA
Capros aper,Capros aper,SPECIES,Animalia,NA,127419,Capros aper,NA,215,NA,18,NA,NA,NA,FroesePauly2018,NA,NA
Arnoglossus imperialis,Arnoglossus imperialis,SPECIES,Animalia,NA,127124,Arnoglossus imperialis,NA,185,NA,19,NA,NA,NA,FroesePauly2018,NA,NA
Mustelus asterias,Mustelus asterias,SPECIES,Animalia,NA,105821,Mustelus asterias,NA,1400,NA,140,NA,NA,NA,FroesePauly2018,NA,NA
Trigloporus lastoviza,Trigloporus lastoviza,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phycis blennioides,Phycis blennioides,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chelidonichthys lucerna,Chelidonichthys lucerna,SPECIES,Animalia,NA,127262,Chelidonichthys lucerna,NA,550,NA,56.666666666666664,NA,NA,NA,FroesePauly2018,NA,NA
Chirolophus ascanii,Chirolophus ascanii,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leucoraja fullonica,Leucoraja fullonica,SPECIES,Animalia,NA,105874,Leucoraja fullonica,NA,1155,NA,120,NA,NA,NA,FroesePauly2018,NA,NA
Schedophilus medusophagus,Schedophilus medusophagus,SPECIES,Animalia,NA,126833,Schedophilus medusophagus,NA,510,NA,51,NA,NA,NA,FroesePauly2018,NA,NA
Leucoraja circularis,Leucoraja circularis,SPECIES,Animalia,NA,105873,Leucoraja circularis,NA,1023.3333333333334,NA,120,NA,NA,NA,FroesePauly2018,NA,NA
Dipturus oxyrinchus,Dipturus oxyrinchus,SPECIES,Animalia,NA,105872,Dipturus oxyrinchus,NA,1500,NA,150,NA,NA,NA,FroesePauly2018,NA,NA
Antonogadus macrophthalmus,Antonogadus macrophthalmus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molva dypterygia,Molva dypterygia,SPECIES,Animalia,NA,126459,Molva dypterygia,NA,1550,NA,38,NA,NA,NA,FroesePauly2018,NA,NA
Pagellus bogaraveo,Pagellus bogaraveo,SPECIES,Animalia,NA,127059,Pagellus bogaraveo,NA,500,NA,41.166666666666664,NA,NA,NA,FroesePauly2018,NA,NA
Ciliata septentrionalis,Ciliata septentrionalis,SPECIES,Animalia,NA,126449,Ciliata septentrionalis,NA,200,NA,12.2,NA,NA,NA,FroesePauly2018,NA,NA
Arnoglossus thori,Arnoglossus thori,SPECIES,Animalia,NA,127128,Arnoglossus thori,NA,150,NA,20.5,NA,NA,NA,FroesePauly2018,NA,NA
Pegusa lascaris,Pegusa lascaris,SPECIES,Animalia,NA,127156,Pegusa lascaris,NA,350,NA,35,NA,NA,NA,FroesePauly2018,NA,NA
Atherina boyeri,Atherina boyeri,SPECIES,Animalia,NA,272027,Atherina boyeri,NA,200,NA,NA,NA,NA,NA,NA,NA,NA
Liza ramada,Liza ramada,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cobitis taenia,Cobitis taenia,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liza aurata,Liza aurata,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deltentosteus quadrimaculatus,Deltentosteus quadrimaculatus,SPECIES,Animalia,NA,126880,Deltentosteus quadrimaculatus,NA,80,NA,9.2,NA,NA,NA,FroesePauly2018,NA,NA
Diplodus vulgaris,Diplodus vulgaris,SPECIES,Animalia,NA,127054,Diplodus vulgaris,NA,335,NA,45,NA,NA,NA,FroesePauly2018,NA,NA
Liza saliens,Liza saliens,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solea senegalensis,Solea senegalensis,SPECIES,Animalia,NA,127159,Solea senegalensis,NA,525,NA,60,NA,NA,NA,FroesePauly2018,NA,NA
Sparus aurata,Sparus aurata,SPECIES,Animalia,NA,151523,Sparus aurata,NA,525,NA,70,NA,NA,NA,FroesePauly2018,NA,NA
Syngnathus abaster,Syngnathus abaster,SPECIES,Animalia,NA,127386,Syngnathus abaster,NA,210,NA,NA,NA,NA,NA,NA,NA,NA
Aphia minuta,Aphia minuta,SPECIES,Animalia,NA,126868,Aphia minuta,NA,69.5,NA,7.9,NA,NA,NA,FroesePauly2018,NA,NA
Diplodus annularis,Diplodus annularis,SPECIES,Animalia,NA,127049,Diplodus annularis,NA,185,NA,23,NA,NA,NA,FroesePauly2018,NA,NA
Oedalechilus labeo,Oedalechilus labeo,SPECIES,Animalia,NA,126984,Oedalechilus labeo,NA,250,NA,NA,NA,NA,NA,NA,NA,NA
Gobius ater,Gobius ater,SPECIES,Animalia,NA,126883,Gobius ater,NA,71,NA,NA,NA,NA,NA,NA,NA,NA
Alosa alosa,Alosa alosa,SPECIES,Animalia,NA,126413,Alosa alosa,NA,655,NA,65,NA,NA,NA,FroesePauly2018,NA,NA
Chelidonichthys lucernus,Chelidonichthys lucernus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplodus sargus,Diplodus sargus,SPECIES,Animalia,NA,127053,Diplodus sargus,NA,335,NA,34.15,NA,NA,NA,FroesePauly2018,NA,NA
Symphodus bailloni,Symphodus bailloni,SPECIES,Animalia,NA,273566,Symphodus bailloni,NA,190,NA,20,NA,NA,NA,FroesePauly2018,NA,NA
Labrus viridis,Labrus viridis,SPECIES,Animalia,NA,126968,Labrus viridis,NA,422.5,NA,NA,NA,NA,NA,NA,NA,NA
Carassius carassius,Carassius carassius,SPECIES,Animalia,NA,154297,Carassius carassius,NA,395,NA,NA,NA,NA,NA,NA,NA,NA
Gobius strictus,Gobius strictus,SPECIES,Animalia,NA,126895,Gobius strictus,NA,65,NA,NA,NA,NA,NA,NA,NA,NA
Lagocephalus lagocephalus,Lagocephalus lagocephalus,SPECIES,Animalia,NA,127414,Lagocephalus lagocephalus,NA,610,NA,NA,NA,NA,NA,NA,NA,NA
Gaidropsarus mediteraneus,Gaidropsarus mediterraneus,SPECIES,Animalia,NA,126457,Gaidropsarus mediterraneus,NA,375,NA,50,NA,NA,NA,FroesePauly2018,NA,NA
Caraninx crysos,Caranx crysos,SPECIES,Animalia,NA,126802,Caranx crysos,NA,550,NA,70,NA,NA,NA,FroesePauly2018,NA,NA
Boops boops,Boops boops,SPECIES,Animalia,NA,127047,Boops boops,NA,280,NA,36,NA,NA,NA,FroesePauly2018,NA,NA
Labrus merula,Labrus merula,SPECIES,Animalia,NA,126967,Labrus merula,NA,425,NA,NA,NA,NA,NA,NA,NA,NA
Pomatoschistus marmoratus,Pomatoschistus marmoratus,SPECIES,Animalia,NA,126926,Pomatoschistus marmoratus,NA,65,NA,NA,NA,NA,NA,NA,NA,NA
Symphodus cinereus,Symphodus cinereus,SPECIES,Animalia,NA,273567,Symphodus cinereus,NA,120,NA,NA,NA,NA,NA,NA,NA,NA
Entelerus aequoareus,Entelurus aequoreus,SPECIES,Animalia,NA,127379,Entelurus aequoreus,NA,474,NA,60.142857142857146,NA,NA,NA,Wiedmann2014 / FroesePauly2018,NA,NA
Hippocampus ramulosus,Hippocampus ramulosus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parablennius sanguinolentus,Parablennius sanguinolentus,SPECIES,Animalia,NA,126776,Parablennius sanguinolentus,NA,162.5,NA,NA,NA,NA,NA,NA,NA,NA
Crisia sp,Crisia,GENUS,Animalia,NA,111032,Crisia,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Lagenipora sp,Lagenipora,GENUS,Animalia,NA,110876,Lagenipora,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Urticina sp,Urticina,GENUS,Animalia,NA,100706,Urticina,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Aplidium sp,Aplidium,GENUS,Animalia,NA,103471,Aplidium,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Didemnum carnulentum,Didemnum carnulentum,SPECIES,Animalia,NA,250480,Didemnum carnulentum,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Kelp holdfast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acarnus erithacus,Acarnus erithacus,SPECIES,Animalia,NA,167343,Acarnus erithacus,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Bossiella sp,Bossiella,GENUS,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botryocladia pseudodichotoma,Botryocladia pseudodichotoma,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calliarthron sp,Calliarthron,GENUS,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cucumeria fisheri,Cucumaria fisheri,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cystodytes lobatus,Cystodytes lobatus,SPECIES,Animalia,NA,250432,Cystodytes lobatus,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Cystoseira osmundacea,Cystoseira osmundacea,SPECIES,Chromista,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dictyota binghamiae,Dictyota binghamiae,SPECIES,Chromista,NA,372003,Dictyota binghamiae,NA,400,NA,NA,NA,NA,NA,NA,NA,NA
Encrusting red algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epiactis prolifera,Epiactis prolifera,SPECIES,Animalia,NA,283435,Epiactis prolifera,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Gold encrusting bryozoan,Gol,GENUS,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hippodiplosia insculpta,Hippodiplosia insculpta,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kallymenia pacifica,Kallymenia pacifica,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laminaria sp,Laminaria,GENUS,Chromista,NA,144199,Laminaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithothrix aspergillum,Lithothrix aspergillum,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macrocystis pyrifera1,Macrocystis,GENUS,Chromista,NA,206527,Macrocystis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Membranipora fusca,Membranipora fulcra,SPECIES,Animalia,NA,1405041,Membranipora fulcra,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Metandrocarpa dura,Metandrocarpa dura,SPECIES,Animalia,NA,250827,Metandrocarpa dura,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Nienburgia andersoniana,Nienburgia andersoniana,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Opuntiella californica,Opuntiella californica,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange encrusting sponge,Oronge,GENUS,Fungi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phidolopora pacifica,Phidolopora pacifica,SPECIES,Animalia,NA,470149,Phidolopora pacifica,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Pink encrusting bryozoan,Pina,GENUS,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterosiphonia sp,Pterosiphonia,GENUS,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red turf algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ritterella aequalisiphonis,Ritterella aequalisiphonis,SPECIES,Animalia,NA,251327,Ritterella aequalisiphonis,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Serpulid worm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Synoicum sp,Synoicum,GENUS,Animalia,NA,103479,Synoicum,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Tethya aurantia,Tethya aurantia,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unidentified sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unknown sponge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unknown tunicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bugula sp,Bugula,GENUS,Animalia,NA,110839,Bugula,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Archidistoma molli,Archidistoma molle,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barnacle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Codium setchellii,Codium setchellii,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gigartina corymbifera,Gigartina corymbifera,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gigartina exasperata,Gigartina exasperata,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gigartina sp,Gigartina,GENUS,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laurencia pacifica,Laurencia pacifica,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoptilota densa,Neoptilota densa,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paracyathus stearnsii,Paracyathus stearnsii,SPECIES,Animalia,NA,286830,Paracyathus stearnsii,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Red algae sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trididemnum opacum,Trididemnum opacum,SPECIES,Animalia,NA,251518,Trididemnum opacum,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Young laminariales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eurystomella bilabiata,Eurystomella bilabiata,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bryopsis corticulans,Bryopsis corticulans,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coeloseira compressa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dodecaceria sp,Dodecaceria,GENUS,Animalia,NA,129246,Dodecaceria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fauchea laciniata,Faucherea laciniata,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydractinia milleri,Hydractinia milleri,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leucetta losangelensis,Leucetta losangelensis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leucosolenia eleanor,Leucosolenia eleanor,SPECIES,Animalia,NA,164523,Leucosolenia eleanor,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Microciona parthena,Microciona parthena,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rootbeer brown sponge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stylantheca porphyra,Stylantheca porphyra,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boltenia villosa,Boltenia villosa,SPECIES,Animalia,NA,250073,Boltenia villosa,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Giffordia granulosa,Giffordia granulosa,SPECIES,Chromista,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sabellid polychaete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clavelina huntsmani,Clavelina huntsmani,SPECIES,Animalia,NA,250311,Clavelina huntsmani,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Crepipatella lingulata,Crepipatella lingulata,SPECIES,Animalia,NA,493731,Crepipatella lingulata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dictyota flabellata,Dictyota flabellata,SPECIES,Chromista,NA,372004,Dictyota flabellata,NA,400,NA,NA,NA,NA,NA,NA,NA,NA
Filamentous red algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macrocystis pyrifera2,Macrocystis,GENUS,Chromista,NA,206527,Macrocystis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parchment tube polychaete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sertularella turgida,Sertularella turgida,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spirobranchus spinosus,Spirobranchus spinosus,SPECIES,Animalia,NA,334836,Spirobranchus spinosus,NA,50,NA,NA,NA,NA,NA,NA,NA,NA
Thalamoporella california,Thalamoporella california,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zonaria farlowii,Zonaria farlowii,SPECIES,Chromista,NA,372696,Zonaria farlowii,NA,250,NA,NA,NA,NA,NA,NA,NA,NA
Corallina epiphyte,Corallina,GENUS,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pholad clam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haliptylon gracile,Haliptylon gracile,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crassadoma gigantea,Crassadoma gigantea,SPECIES,Animalia,NA,240774,Crassadoma gigantea,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Filamentous green algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laurencia crispa,Laurencia crispa,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rubble/Shell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pycnoclavella stanleyi,Pycnoclavella stanleyi,SPECIES,Animalia,NA,251245,Pycnoclavella stanleyi,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Filamentous brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unidentified ophiuroid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botryoglossum farlowianum,Botryoglossum farlowianum,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erythrophyllum delesserioides,Erythrophyllum delesserioides,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dictyoneurum californicum,Dictyoneurum californicum,SPECIES,Chromista,NA,372515,Dictyoneurum californicum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laminaria setchellii,Laminaria setchellii,SPECIES,Chromista,NA,240748,Laminaria setchellii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pikea sp,Pikea,GENUS,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Megastraea undosa,Megastraea undosa,SPECIES,Animalia,NA,528084,Megastraea undosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coryphopterus nicholsi,Coryphopterus nicholsi,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithopoma gibberosa,Lithopoma gibberosa,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haliotis fulgens,Haliotis fulgens,SPECIES,Animalia,NA,445325,Haliotis fulgens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agarum fimbriatum,Agarum fimbriatum,SPECIES,Chromista,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dictyoneuropsis reticulata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tegula regina,Tegula regina,SPECIES,Animalia,NA,534195,Tegula regina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centrostephanus coronatus,Centrostephanus coronatus,SPECIES,Animalia,NA,513165,Centrostephanus coronatus,NA,60,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Haliotis assimilis,Haliotis assimilis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stylaster californicus,Stylaster californicus,SPECIES,Animalia,NA,285860,Stylaster californicus,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Aythya americana,Aythya americana,SPECIES,Animalia,Redhead,NA,NA,NA,NA,NA,NA,1056.25,NA,NA,NA,NA,NA
Aythya valisineria,Aythya valisineria,SPECIES,Animalia,Canvasback,159173,Aythya valisineria,NA,NA,NA,NA,1218.666667,NA,NA,NA,NA,NA
Oxyura jamaicensis,Oxyura jamaicensis,SPECIES,Animalia,Ruddy Duck,NA,NA,NA,NA,NA,NA,550,NA,NA,NA,NA,NA
Allium macropetalum,Allium macropetalum,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lesquerella fendleri,Lesquerella fendleri,SPECIES,Plantae,NA,NA,NA,Lesquerella fendleri,NA,NA,NA,NA,-0.2720791040555046,NA,NA,21 119 28,NA
